       gpst                      B                   L                    H            E(m/s)    N(m/s)   U(m/s) SatNum   DOP
    341636.0000      36.656031     117.058801     107.000000    1.5200   -5.1600    0.1200      12    0.7800
    341637.0000      36.656001     117.058833     108.000000    3.0400   -3.2500    0.0900      12    0.7800
    341638.0000      36.655991     117.058876     108.000000    3.7600   -1.2000    0.1100      12    0.7800
    341639.0000      36.655988     117.058935     108.000000    5.2400   -0.6500    0.1500      12    0.7800
    341640.0000      36.655987     117.059012     108.000000    6.9500   -0.3500    0.1400      12    0.8200
    341641.0000      36.655985     117.059099     108.000000    7.6300   -0.0500    0.2000      11    0.8200
    341642.0000      36.655982     117.059196     108.000000    8.5100   -0.1800    0.2900      11    0.8200
    341643.0000      36.655978     117.059291     108.000000    8.2800   -0.2200    0.1100      11    0.8200
    341644.0000      36.655971     117.059382     108.000000    8.1900   -0.4000    0.1000      11    0.7800
    341645.0000      36.655962     117.059471     108.000000    8.1100   -0.7700   -0.0400      11    0.8600
    341646.0000      36.655957     117.059547     108.000000    6.7800   -0.1600   -0.0500      12    0.8200
    341647.0000      36.655955     117.059619     108.000000    6.7600   -0.0400    0.1900      12    0.8200
    341648.0000      36.655954     117.059697     108.000000    7.5200   -0.0100    0.1500      10    0.7800
    341649.0000      36.655953     117.059782     109.000000    7.8400   -0.1600    0.0800      10    0.8200
    341650.0000      36.655952     117.059872     109.000000    8.0000   -0.0100    0.0900      11    0.8500
    341651.0000      36.655953     117.059965     109.000000    8.1100    0.1500    0.0900      11    0.8500
    341652.0000      36.655953     117.060050     109.000000    7.2400    0.1300    0.0300      11    0.8200
    341653.0000      36.655951     117.060121     109.000000    6.0900   -0.1300    0.0600      12    0.8200
    341654.0000      36.655944     117.060180     108.000000    5.4400   -0.8400   -0.0200      12    0.8200
    341655.0000      36.655922     117.060227     108.000000    4.3900   -2.5300    0.1000      12    0.8200
    341656.0000      36.655888     117.060260     108.000000    2.9500   -3.7300    0.0400      12    0.8200
    341657.0000      36.655845     117.060280     108.000000    1.9500   -4.4000   -0.1000      12    0.8200
    341658.0000      36.655792     117.060288     108.000000    0.8600   -5.7000   -0.2300      11    0.8200
    341659.0000      36.655728     117.060288     108.000000    0.0500   -7.1900   -0.0900      12    0.8200
    341660.0000      36.655653     117.060285     108.000000   -0.0700   -8.1300   -0.1000      12    0.8200
    341661.0000      36.655577     117.060284     108.000000    0.0200   -8.1900   -0.1800      12    0.7800
    341662.0000      36.655500     117.060284     108.000000   -0.0200   -8.3500   -0.0800      12    0.8200
    341663.0000      36.655428     117.060285     108.000000   -0.1700   -7.9600    0.0800      12    0.8200
    341664.0000      36.655361     117.060286     108.000000    0.0500   -7.3400    0.0200      12    0.8200
    341665.0000      36.655294     117.060286     108.000000   -0.0800   -7.7700   -0.0400      12    0.8200
    341666.0000      36.655218     117.060288     108.000000    0.2200   -8.7700   -0.0600      11    0.7800
    341667.0000      36.655135     117.060288     107.000000   -0.1000   -9.2200   -0.0900       9    0.7800
    341668.0000      36.655053     117.060287     107.000000   -0.0000   -8.7800   -0.0400      10    0.7800
    341669.0000      36.654984     117.060285     107.000000   -0.2000   -7.0100   -0.0300       9    0.7800
    341670.0000      36.654928     117.060286     107.000000    0.3500   -6.0500   -0.0600      11    0.7800
    341671.0000      36.654881     117.060285     107.000000   -0.1800   -5.3800   -0.0400      10    0.7800
    341672.0000      36.654836     117.060281     107.000000   -0.4200   -5.3200   -0.0500      11    0.7800
    341673.0000      36.654782     117.060279     107.000000    0.0400   -6.5700   -0.0200       9    0.7800
    341674.0000      36.654722     117.060278     107.000000   -0.0400   -6.4700    0.0500       9    0.7800
    341675.0000      36.654670     117.060280     107.000000    0.2900   -5.2300    0.0900       9    0.8100
    341676.0000      36.654629     117.060282     107.000000    0.0400   -4.0700    0.1000       8    0.7800
    341677.0000      36.654597     117.060283     107.000000    0.1700   -3.4900    0.0900       9    0.7800
    341678.0000      36.654572     117.060288     107.000000    0.5200   -2.7700    0.0200      10    0.8200
    341679.0000      36.654555     117.060295     107.000000    0.6600   -1.8100    0.0300      10    0.8200
    341680.0000      36.654544     117.060303     107.000000    0.6300   -1.2900    0.0200      10    0.7800
    341681.0000      36.654531     117.060313     107.000000    0.9200   -1.5100    0.0100      11    0.8100
    341682.0000      36.654509     117.060333     107.000000    2.0700   -2.4800    0.0200      11    0.7800
    341683.0000      36.654484     117.060374     107.000000    4.0400   -2.4700   -0.0300      10    0.8400
    341684.0000      36.654468     117.060443     107.000000    6.2800   -1.1400    0.0600      10    0.8700
    341685.0000      36.654462     117.060531     107.000000    7.6400   -0.3600    0.0200      12    0.8400
    341686.0000      36.654461     117.060633     107.000000    8.6700   -0.1600   -0.2500      11    0.8500
    341687.0000      36.654463     117.060744     107.000000    9.7400   -0.0400   -0.1900      11    0.8200
    341688.0000      36.654461     117.060865     107.000000   10.7500   -0.3600   -0.1500      11    0.9400
    341689.0000      36.654454     117.060994     107.000000   11.5600   -0.9700   -0.0900      11    0.9400
    341690.0000      36.654441     117.061122     107.000000   11.3300   -1.1600   -0.0500      11    0.8200
    341691.0000      36.654431     117.061238     107.000000   10.0600   -0.6500    0.0100      10    0.8600
    341692.0000      36.654427     117.061332     107.000000    8.2200   -0.1200    0.0100       9    0.8600
    341693.0000      36.654426     117.061406     107.000000    7.0100   -0.0500   -0.0900      10    0.8200
    341694.0000      36.654427     117.061466     106.000000    5.8000   -0.0100   -0.1900      10    0.8600
    341695.0000      36.654428     117.061511     106.000000    4.2900   -0.0800   -0.0700      10    0.8600
    341696.0000      36.654427     117.061539     106.000000    2.6800   -0.0100   -0.0500       9    0.8600
    341697.0000      36.654426     117.061546     106.000000    0.6400   -0.0100   -0.1300       8    0.8800
    341698.0000      36.654425     117.061543     106.000000    0.0100   -0.0100   -0.2100       8    0.9200
    341699.0000      36.654424     117.061541     106.000000   -0.0200   -0.0200   -0.0900       9    0.9000
    341700.0000      36.654423     117.061540     106.000000   -0.0200   -0.0200   -0.0600      10    0.8500
    341701.0000      36.654423     117.061541     106.000000   -0.0100   -0.0000   -0.0400       9    0.9200
    341702.0000      36.654422     117.061542     106.000000   -0.0100   -0.0200   -0.0300      10    0.8500
    341703.0000      36.654422     117.061543     106.000000   -0.0100   -0.0100   -0.0300       9    0.7700
    341704.0000      36.654422     117.061543     106.000000   -0.0100   -0.0000   -0.0300      10    0.7400
    341705.0000      36.654422     117.061543     106.000000   -0.0000   -0.0100   -0.0200      10    0.7400
    341706.0000      36.654421     117.061543     106.000000   -0.0300   -0.0400   -0.1100      10    0.7400
    341707.0000      36.654421     117.061542     106.000000   -0.0400   -0.0100   -0.0900      10    0.7400
    341708.0000      36.654421     117.061542     106.000000   -0.0000    0.0000    0.0100      10    0.7400
    341709.0000      36.654420     117.061542     106.000000   -0.0100   -0.0100   -0.0400      10    0.7400
    341710.0000      36.654420     117.061542     106.000000   -0.0000   -0.0100   -0.0100      11    0.7400
    341711.0000      36.654420     117.061542     106.000000    0.0000    0.0000    0.0000      11    0.7400
    341712.0000      36.654420     117.061542     106.000000    0.0100   -0.0100   -0.0000      11    0.7400
    341713.0000      36.654420     117.061543     106.000000   -0.0000    0.0000   -0.0000      11    0.7400
    341714.0000      36.654419     117.061543     106.000000    0.0000    0.0000   -0.0000      11    0.7700
    341715.0000      36.654419     117.061543     106.000000   -0.0000    0.0000   -0.0100      11    0.7400
    341716.0000      36.654419     117.061543     106.000000   -0.0000    0.0100    0.0200      11    0.7400
    341717.0000      36.654419     117.061543     106.000000   -0.0000   -0.0100    0.0100      11    0.7400
    341718.0000      36.654418     117.061543     106.000000   -0.0100    0.0100   -0.0000      11    0.7400
    341719.0000      36.654418     117.061543     106.000000   -0.0000    0.0100    0.0100      11    0.7000
    341720.0000      36.654418     117.061543     106.000000    0.0300   -0.0500   -0.0400      10    0.6800
    341721.0000      36.654418     117.061555     106.000000    1.6000    0.0900    0.0500      11    0.6800
    341722.0000      36.654419     117.061594     106.000000    4.0100    0.0900   -0.0100       9    0.7200
    341723.0000      36.654421     117.061659     106.000000    5.7600    0.4200    0.1000       9    0.7500
    341724.0000      36.654429     117.061744     106.000000    7.3000    0.9600   -0.0100      10    0.7000
    341725.0000      36.654438     117.061843     106.000000    8.4200    0.9500   -0.0100       9    0.7400
    341726.0000      36.654442     117.061949     106.000000    9.3300    0.2500   -0.0200      10    0.7000
    341727.0000      36.654440     117.062063     106.000000   10.2800   -0.1800   -0.0200       9    0.7200
    341728.0000      36.654436     117.062186     106.000000   11.2500   -0.2400    0.1300       8    0.7200
    341729.0000      36.654431     117.062318     106.000000   11.9900   -0.3400    0.0300       7    0.6700
    341731.0000      36.654380     117.062493      93.000000   13.2100    0.0300   -0.0200      13    0.6900
    341732.0000      36.654383     117.062641      93.000000   13.1100    0.2300    0.1500      15    0.6900
    341733.0000      36.654385     117.062788      93.000000   12.7000    0.0500    0.0900      15    0.6900
    341734.0000      36.654386     117.062928      93.000000   12.2300    0.0200    0.1300      15    0.6700
    341735.0000      36.654385     117.063123      88.000000   12.0200    0.1100    0.0600      10    0.7000
    341736.0000      36.654387     117.063261      88.000000   12.3300    0.1700    0.0000      10    0.7200
    341737.0000      36.654389     117.063406      88.000000   12.9200    0.1800    0.0400      10    0.7400
    341738.0000      36.654390     117.063551      88.000000   13.0500    0.0900    0.0500      11    0.7100
    341739.0000      36.654388     117.063698      88.000000   13.1700   -0.2600   -0.2600      11    0.7100
    341740.0000      36.654385     117.063851      88.000000   13.8700   -0.3400    0.0100      11    0.6900
    341741.0000      36.654382     117.064010      88.000000   14.1800   -0.4000    0.0800      11    0.6900
    341742.0000      36.654378     117.064166      88.000000   13.8600   -0.4200   -0.0800      13    0.6900
    341743.0000      36.654376     117.064318      88.000000   13.5200   -0.2800    0.0700      12    0.7900
    341744.0000      36.654376     117.064464      88.000000   13.0200   -0.1500    0.0000      12    0.7300
    341745.0000      36.654376     117.064603      88.000000   12.4100   -0.0600    0.0400      12    0.7300
    341746.0000      36.654377     117.064732      88.000000   11.5700   -0.0200    0.0600      14    0.7400
    341747.0000      36.654379     117.064847      88.000000   10.2600    0.0200    0.0000      14    0.7300
    341748.0000      36.654380     117.064943      88.000000    8.5400    0.0500   -0.0200      14    0.7300
    341749.0000      36.654382     117.065019      88.000000    6.8000    0.0800    0.0400      14    0.7400
    341750.0000      36.654383     117.065073      88.000000    5.0000   -0.0100    0.0100      14    0.7300
    341751.0000      36.654383     117.065110      88.000000    3.4900   -0.0900   -0.0200      14    0.7300
    341752.0000      36.654382     117.065134      88.000000    2.3200   -0.0700   -0.0300      14    0.7300
    341753.0000      36.654382     117.065143      88.000000    0.9100   -0.0200    0.0200      14    0.7100
    341754.0000      36.654382     117.065143      88.000000    0.0100   -0.0000    0.0200      14    0.6800
    341755.0000      36.654383     117.065141      88.000000    0.0000   -0.0000    0.0200      14    0.6800
    341756.0000      36.654383     117.065141      88.000000    0.0000    0.0000    0.0100      14    0.6800
    341757.0000      36.654383     117.065142      88.000000   -0.0000    0.0100    0.0000      14    0.6800
    341758.0000      36.654384     117.065143      88.000000    0.0000   -0.0100   -0.0000      14    0.6800
    341759.0000      36.654384     117.065144      88.000000   -0.0000    0.0000   -0.0000      14    0.6800
    341761.0000      36.654383     117.065170      91.000000   -0.0000    0.0000   -0.0100      16    0.6800
    341762.0000      36.654389     117.065116      85.000000   -0.0000   -0.0000   -0.0000      14    0.6800
    341763.0000      36.654389     117.065116      85.000000   -0.0000   -0.0100   -0.0000      14    0.6800
    341764.0000      36.654389     117.065116      85.000000   -0.0000    0.0100    0.0000      14    0.6800
    341765.0000      36.654389     117.065116      85.000000   -0.0000   -0.0000   -0.0400      14    0.6800
    341766.0000      36.654389     117.065116      85.000000    0.0000   -0.0000   -0.0200      14    0.6800
    341767.0000      36.654389     117.065116      85.000000   -0.0000   -0.0000    0.0200      14    0.6800
    341768.0000      36.654389     117.065116      85.000000    0.0000    0.0100    0.0100      14    0.6800
    341769.0000      36.654389     117.065116      85.000000    0.0000   -0.0000   -0.0200      14    0.6800
    341770.0000      36.654388     117.065116      85.000000   -0.0000   -0.0000   -0.0300      14    0.6800
    341771.0000      36.654388     117.065116      85.000000    0.0000    0.0000    0.0200      14    0.6800
    341772.0000      36.654388     117.065116      85.000000   -0.0000    0.0000    0.0100      14    0.6800
    341773.0000      36.654388     117.065116      85.000000    0.0000   -0.0000    0.0100      14    0.6800
    341774.0000      36.654388     117.065116      85.000000    0.0000    0.0000    0.0100      14    0.6800
    341775.0000      36.654388     117.065116      85.000000   -0.0000   -0.0000   -0.0300      14    0.6600
    341776.0000      36.654388     117.065116      84.000000    0.0000   -0.0100    0.0100      14    0.6600
    341777.0000      36.654388     117.065116      84.000000    0.0000    0.0000    0.0100      14    0.6600
    341778.0000      36.654388     117.065116      84.000000   -0.0000    0.0000   -0.0200      14    0.6600
    341779.0000      36.654388     117.065116      84.000000    0.0000   -0.0100   -0.0100      14    0.6600
    341780.0000      36.654388     117.065116      84.000000    0.0000    0.0100    0.0200      15    0.6600
    341781.0000      36.654389     117.065116      84.000000    0.0000   -0.0000   -0.0200      15    0.6600
    341782.0000      36.654389     117.065116      84.000000   -0.0000   -0.0000   -0.0100      15    0.6600
    341783.0000      36.654389     117.065117      84.000000    0.0000    0.0000   -0.0000      15    0.6600
    341784.0000      36.654389     117.065117      84.000000   -0.0000    0.0000   -0.0000      15    0.6600
    341785.0000      36.654389     117.065117      84.000000    0.0000   -0.0000   -0.0100      15    0.6600
    341786.0000      36.654389     117.065117      84.000000    0.0000    0.0100    0.0000      15    0.6600
    341787.0000      36.654389     117.065117      84.000000    0.0000   -0.0000   -0.0100      15    0.6600
    341788.0000      36.654389     117.065117      84.000000   -0.0000   -0.0000   -0.0000      15    0.6600
    341789.0000      36.654389     117.065117      84.000000   -0.0000    0.0000   -0.0000      15    0.6400
    341790.0000      36.654389     117.065117      84.000000    0.0000   -0.0000   -0.0100      15    0.6600
    341791.0000      36.654389     117.065117      85.000000    0.0000   -0.0000    0.0000      15    0.6600
    341792.0000      36.654389     117.065117      85.000000    0.0000    0.0100    0.0000      15    0.6600
    341793.0000      36.654389     117.065118      85.000000   -0.0000   -0.0000   -0.0000      15    0.6600
    341794.0000      36.654389     117.065118      85.000000   -0.0000    0.0000   -0.0000      15    0.6600
    341795.0000      36.654389     117.065118      85.000000   -0.0000    0.0000   -0.0000      15    0.6600
    341796.0000      36.654389     117.065118      85.000000   -0.0000   -0.0000   -0.0000      15    0.6600
    341797.0000      36.654389     117.065118      85.000000    0.0000   -0.0000   -0.0100      15    0.6600
    341798.0000      36.654389     117.065118      85.000000    0.0000   -0.0000    0.0000      15    0.6600
    341799.0000      36.654389     117.065118      85.000000    0.0000   -0.0000   -0.0000      15    0.6600
    341800.0000      36.654389     117.065118      85.000000   -0.0000   -0.0000   -0.0100      15    0.6800
    341801.0000      36.654389     117.065118      85.000000    0.0000    0.0000    0.0100      15    0.6800
    341802.0000      36.654390     117.065118      85.000000    0.0000   -0.0000    0.0000      15    0.6800
    341803.0000      36.654390     117.065119      85.000000    0.0000   -0.0000   -0.0000      15    0.6800
    341804.0000      36.654390     117.065119      85.000000    0.0000   -0.0000    0.0000      15    0.6800
    341805.0000      36.654390     117.065119      85.000000    0.0000    0.0100    0.0000      15    0.6800
    341806.0000      36.654391     117.065119      85.000000   -0.0000    0.0100   -0.0100      15    0.6800
    341807.0000      36.654391     117.065119      85.000000    0.0000   -0.0000   -0.0000      15    0.6600
    341808.0000      36.654391     117.065120      85.000000    0.0000    0.0000    0.0100      15    0.6800
    341809.0000      36.654392     117.065120      85.000000   -0.0000   -0.0000   -0.0100      15    0.6800
    341810.0000      36.654392     117.065121      85.000000   -0.0000    0.0000    0.0000      15    0.6800
    341811.0000      36.654393     117.065121      85.000000    0.0000    0.0000   -0.0000      15    0.6600
    341812.0000      36.654393     117.065121      85.000000    0.0000   -0.0000   -0.0100      15    0.6800
    341813.0000      36.654394     117.065122      85.000000   -0.0000    0.0000    0.0000      15    0.6800
    341814.0000      36.654394     117.065122      85.000000    0.0000    0.0000   -0.0000      15    0.6800
    341815.0000      36.654394     117.065122      85.000000    0.0000   -0.0000    0.0000      15    0.6800
    341816.0000      36.654395     117.065122      85.000000    0.0000    0.0000   -0.0000      15    0.6800
    341817.0000      36.654395     117.065123      85.000000   -0.0000   -0.0000    0.0000      15    0.6800
    341818.0000      36.654395     117.065123      85.000000    0.0000   -0.0000   -0.0000      15    0.6800
    341819.0000      36.654396     117.065123      85.000000    0.0000    0.0000    0.0100      15    0.6800
    341820.0000      36.654396     117.065124      85.000000    0.0000   -0.0000   -0.0000      15    0.6800
    341821.0000      36.654396     117.065124      85.000000   -0.0000   -0.0000   -0.0000      15    0.6800
    341822.0000      36.654397     117.065124      85.000000    0.0000    0.0000    0.0000      15    0.6800
    341823.0000      36.654397     117.065124      85.000000    0.0000   -0.0000   -0.0000      15    0.6800
    341824.0000      36.654397     117.065125      85.000000    0.0000    0.0000   -0.0000      15    0.6800
    341825.0000      36.654397     117.065125      85.000000    0.0000   -0.0000   -0.0000      15    0.6800
    341826.0000      36.654398     117.065125      85.000000    0.0000    0.0000   -0.0000      15    0.6800
    341827.0000      36.654398     117.065126      85.000000    0.0100   -0.0000    0.0100      15    0.6800
    341828.0000      36.654398     117.065126      85.000000   -0.0000    0.0000    0.0000      15    0.6800
    341829.0000      36.654398     117.065126      85.000000    0.0000   -0.0000   -0.0000      15    0.6800
    341830.0000      36.654398     117.065126      85.000000    0.0000   -0.0100   -0.0100      15    0.6800
    341831.0000      36.654398     117.065127      85.000000    0.0000    0.0000    0.0000      15    0.6800
    341832.0000      36.654398     117.065127      85.000000   -0.0000    0.0000   -0.0100      15    0.6800
    341833.0000      36.654397     117.065127      85.000000    0.0000   -0.0000   -0.0000      15    0.6800
    341834.0000      36.654397     117.065127      85.000000    0.0000    0.0000    0.0100      15    0.6800
    341835.0000      36.654397     117.065127      85.000000   -0.0000   -0.0000    0.0000      15    0.6800
    341836.0000      36.654396     117.065130      85.000000    0.2300   -0.0200   -0.0200      15    0.6800
    341837.0000      36.654396     117.065146      85.000000    1.7600    0.0100    0.0500      15    0.6600
    341838.0000      36.654395     117.065186      85.000000    3.8500   -0.0600   -0.1000      14    0.6600
    341839.0000      36.654394     117.065252      85.000000    5.8700   -0.1400   -0.0800      13    0.7100
    341840.0000      36.654390     117.065340      85.000000    7.6200   -0.4800    0.0600      12    0.7000
    341841.0000      36.654384     117.065445      85.000000    8.9300   -0.7100   -0.0800       8    0.7600
    341842.0000      36.654373     117.065536      90.000000    9.5500   -0.8100   -0.0700       6    0.7200
    341842.0000      36.654373     117.065536      90.000000    9.5500   -0.8100   -0.0700       6    0.7200
    341843.0000      36.654366     117.065641      90.000000    9.2400   -0.4000   -0.0800       4    0.6900
    341844.0000      36.654366     117.065750      90.000000    9.9900    0.0500   -0.0900       4    0.6700
    341845.0000      36.654358     117.065861      90.000000   10.8100    0.0900   -0.0800       4    0.7700
    341846.0000      36.654344     117.066119      90.000000   12.0200    0.0800   -0.0700       5    0.8500
    341847.0000      36.654343     117.066251      90.000000   11.6900    0.0200   -0.0500      10    0.7300
    341847.0000      36.654343     117.066251      90.000000   11.6900    0.0200   -0.0500      10    0.7300
    341848.0000      36.654345     117.066381      90.000000   11.3700    0.3200   -0.0700      14    0.7100
    341849.0000      36.654348     117.066508      90.000000   11.5000    0.1800   -0.1300      13    0.6900
    341850.0000      36.654351     117.066637      90.000000   11.9600    0.2100   -0.0400      13    0.7100
    341851.0000      36.654353     117.066773      89.000000   12.5900    0.1900   -0.1300      13    0.7100
    341852.0000      36.654355     117.066913      89.000000   12.7500    0.2100   -0.0900      14    0.6800
    341853.0000      36.654356     117.067053      89.000000   12.6100    0.0800   -0.1000      12    0.7000
    341854.0000      36.654355     117.067195      89.000000   12.8900   -0.0600   -0.1600      12    0.7200
    341855.0000      36.654354     117.067340      89.000000   13.0200   -0.0400   -0.1200      11    0.7200
    341856.0000      36.654355     117.067487      89.000000   13.4100    0.0600   -0.1200      12    0.6900
    341857.0000      36.654356     117.067639      89.000000   13.7400    0.0900   -0.1500      12    0.6900
    341858.0000      36.654358     117.067796      88.000000   14.1700    0.2100   -0.0800      13    0.6700
    341859.0000      36.654361     117.067956      88.000000   14.4400    0.2100   -0.1100      15    0.6700
    341860.0000      36.654364     117.068119      88.000000   14.6000    0.3000   -0.1200      14    0.7000
    341861.0000      36.654366     117.068281      88.000000   14.4700    0.1900    0.0600      14    0.7200
    341862.0000      36.654367     117.068440      88.000000   14.2600    0.0800   -0.0200      13    0.7500
    341863.0000      36.654368     117.068598      88.000000   14.2500    0.0900    0.0200      12    0.7200
    341864.0000      36.654369     117.068754      88.000000   14.2100    0.1900    0.0100      13    0.7000
    341865.0000      36.654371     117.068911      88.000000   14.2000    0.2000    0.0400      14    0.7000
    341866.0000      36.654373     117.069069      88.000000   14.3100    0.1900    0.0600      13    0.7900
    341867.0000      36.654375     117.069229      88.000000   14.4700    0.1500    0.0600      12    0.7900
    341868.0000      36.654376     117.069391      88.000000   14.5800    0.1000    0.0400      12    0.7600
    341869.0000      36.654376     117.069555      89.000000   14.7400    0.0500    0.0500      11    0.7000
    341870.0000      36.654377     117.069721      89.000000   14.9300    0.0000    0.1000      13    0.7200
    341871.0000      36.654374     117.069889      89.000000   15.0900   -0.3300    0.0200      12    0.7000
    341872.0000      36.654369     117.070058      89.000000   15.2100   -0.6800   -0.0200      13    0.7000
    341873.0000      36.654360     117.070227      89.000000   15.2600   -0.9100    0.0700      12    0.6800
    341874.0000      36.654350     117.070395      89.000000   15.0500   -1.0500    0.0500      11    0.6800
    341875.0000      36.654341     117.070560      89.000000   14.7300   -0.8900    0.0400      13    0.6800
    341876.0000      36.654334     117.070719      89.000000   14.3300   -0.7400    0.1000      12    0.7200
    341877.0000      36.654328     117.070872      89.000000   13.8000   -0.7800    0.1500      12    0.7600
    341878.0000      36.654321     117.071018      89.000000   13.2900   -0.8300    0.1300      12    0.7800
    341879.0000      36.654314     117.071163      89.000000   13.1900   -0.8600    0.1600      12    0.7200
    341880.0000      36.654306     117.071307      90.000000   13.1000   -0.8500    0.1300      13    0.7200
    341881.0000      36.654298     117.071451      90.000000   12.9100   -0.8600    0.1000      11    0.7200
    341882.0000      36.654290     117.071593      90.000000   12.7400   -0.8100    0.1300      11    0.7200
    341883.0000      36.654283     117.071734      90.000000   12.6400   -0.7800    0.1300      10    0.7400
    341884.0000      36.654277     117.071874      90.000000   12.6000   -0.7400    0.1100      10    0.7400
    341885.0000      36.654271     117.072014      90.000000   12.6100   -0.6600    0.1800      10    0.7400
    341886.0000      36.654266     117.072155      90.000000   12.6700   -0.6100    0.1600       9    1.0300
    341887.0000      36.654261     117.072298      90.000000   12.7300   -0.5800    0.1100       9    1.0300
    341888.0000      36.654257     117.072441      91.000000   12.8300   -0.5200    0.1600       9    1.0300
    341889.0000      36.654253     117.072585      91.000000   12.8900   -0.5500    0.1000       9    0.9700
    341890.0000      36.654248     117.072730      91.000000   12.9500   -0.5600    0.1500       9    0.9700
    341891.0000      36.654243     117.072875      91.000000   13.0100   -0.6100    0.1500      10    0.9700
    341892.0000      36.654237     117.073021      91.000000   13.1000   -0.6400    0.0700      10    0.8400
    341893.0000      36.654231     117.073168      91.000000   13.1600   -0.6400    0.0300       9    0.8000
    341894.0000      36.654226     117.073315      91.000000   13.1900   -0.6700    0.0100      10    0.8600
    341895.0000      36.654219     117.073463      91.000000   13.2200   -0.8300   -0.0700      10    0.8600
    341896.0000      36.654211     117.073610      91.000000   13.1900   -1.0400   -0.0700      10    0.8600
    341897.0000      36.654202     117.073758      91.000000   13.1900   -0.8800   -0.0100      11    0.7900
